idx,CommunicationRound,TimeCost
3,154,0.9373154640197754
3,155,0.4450950622558594
3,156,0.46537327766418457
3,157,0.448927640914917
3,158,0.4782521724700928
3,159,0.4292111396789551
3,160,0.4743080139160156
3,161,0.476276159286499
3,162,Error,0.6701253886588486
3,163,Error,0.5082412846840898
3,164,0.4838588237762451
3,165,0.4208714962005615
3,166,0.4677882194519043
3,167,0.46243762969970703
3,168,0.5037868022918701
3,169,0.4802665710449219
3,170,0.477888822555542
3,171,0.468059778213501
3,172,0.46586036682128906
3,173,0.4536092281341553
3,174,0.4162416458129883
3,175,0.43022990226745605
3,176,0.47243475914001465
3,177,0.4791524410247803
3,178,0.4599916934967041
3,179,0.5014383792877197
3,180,0.42859578132629395
3,181,0.4459357261657715
3,182,0.46440935134887695
3,183,0.42024707794189453
3,184,0.4781606197357178
3,185,Error,1.1659142185729958
3,186,0.4052696228027344
3,187,0.42589616775512695
3,188,Error,1.2223292338233585
3,189,0.4803745746612549
3,190,0.9457621574401855
3,191,0.47463154792785645
3,192,0.8989429473876953
3,193,0.8747050762176514
3,194,Error,2.4460204639787433
3,195,0.8840792179107666
3,196,0.8495090007781982
3,197,0.409008264541626
3,198,0.4820263385772705
3,199,0.48824214935302734
3,200,0.47991156578063965
3,201,0.49068284034729004
3,202,0.48023319244384766
3,203,0.9956743717193604
3,204,0.9400103092193604
3,205,0.8974008560180664
3,206,0.9151287078857422
3,207,0.9167213439941406
3,208,0.47591304779052734
3,209,0.4489736557006836
3,210,0.47502899169921875
3,211,0.45502591133117676
3,212,Error,1.9641041393793075
3,213,0.9345438480377197
3,214,0.4448368549346924
3,215,0.46175551414489746
3,216,0.45379209518432617
3,217,0.45552539825439453
3,218,0.4804952144622803
3,219,0.4581723213195801
3,220,Error,0.8015575484692986
3,221,Error,0.8859351027027996
3,222,0.7821509838104248
3,223,0.8469753265380859
3,224,0.9119071960449219
3,225,0.9043223857879639
3,226,0.8633151054382324
3,227,0.435455322265625
3,228,0.4123373031616211
3,229,Error,0.7422326715392122
3,230,0.4449927806854248
3,231,Error,0.5998074413406933
3,232,Error,0.8895769939222495
3,233,0.4648001194000244
3,234,0.440845251083374
3,235,0.5274040699005127
3,236,0.444195032119751
3,237,0.921821117401123
3,238,0.94482421875
3,239,0.474498987197876
3,240,0.45995211601257324
3,241,0.4701220989227295
3,242,0.5515251159667969
